,tagNames,averageTextConfidence,averageDrinkingConfidence,timeStart,timeEnd,dateStart,dateEnd,alternateNames
0,2391,0.9998714285714286,0.0,0.0331856960408684,3.21901251596424,2022-06-28 10:22:08.756463,2022-06-28 10:22:11.942290,[]
1,1901,0.454,0.6061239242553711,0.0331856960408684,2.688041379310345,2022-06-28 10:22:08.756463,2022-06-28 10:22:11.411319,"[(191, 0.4993666666666667, 0.5641568326947637, 1.6260991060025545), (1901, 0.454, 2.1570702426564496, 2.688041379310345)]"
2,196,0.789,0.5992060303688049,3.21901251596424,3.21901251596424,2022-06-28 10:22:11.942290,2022-06-28 10:22:11.942290,[]
3,2,0.8958,0.0,3.749983652618136,3.749983652618136,2022-06-28 10:22:12.473261,2022-06-28 10:22:12.473261,[]
4,1991,0.1643,0.0,3.749983652618136,3.749983652618136,2022-06-28 10:22:12.473261,2022-06-28 10:22:12.473261,[]
5,1940,0.3764,0.0,4.28095478927203,4.28095478927203,2022-06-28 10:22:13.004232,2022-06-28 10:22:13.004232,[]
6,3525,0.5014,0.0,4.28095478927203,4.28095478927203,2022-06-28 10:22:13.004232,2022-06-28 10:22:13.004232,[]
7,1981,0.5923,0.0,5.342897062579821,5.342897062579821,2022-06-28 10:22:14.066175,2022-06-28 10:22:14.066175,[]
8,2318,0.9999,0.0,5.8738681992337165,5.8738681992337165,2022-06-28 10:22:14.597146,2022-06-28 10:22:14.597146,[]
9,239,1.0,0.9685258865356444,10.12163729246488,10.652608429118771,2022-06-28 10:22:18.844915,2022-06-28 10:22:19.375886,"[(239, 1.0, 10.652608429118771, 10.652608429118771)]"
10,239,0.9999,0.0,20.741060025542783,20.741060025542783,2022-06-28 10:22:29.464338,2022-06-28 10:22:29.464338,[]
11,338,0.2786,0.0,11.714550702426564,11.714550702426564,2022-06-28 10:22:20.437828,2022-06-28 10:22:20.437828,[]
12,2318,0.999925,0.0,12.24552183908046,14.369406385696042,2022-06-28 10:22:20.968799,2022-06-28 10:22:23.092684,"[(18, 1.0, 14.369406385696042, 14.369406385696042)]"
13,22,0.8644,0.0,14.900377522349936,16.493290932311623,2022-06-28 10:22:23.623655,2022-06-28 10:22:25.216568,"[(22, 0.8644, 14.900377522349936, 14.900377522349936)]"
14,22,0.62305,0.0,18.617175478927205,19.679117752234998,2022-06-28 10:22:27.340453,2022-06-28 10:22:28.402395,"[(22, 0.62305, 19.148146615581098, 19.679117752234998)]"
15,197,0.9884,0.0,15.431348659003833,15.962319795657727,2022-06-28 10:22:24.154626,2022-06-28 10:22:24.685597,"[(197, 0.9884, 15.962319795657727, 15.962319795657727)]"
16,26,0.6758249999999999,0.0,17.024262068965516,19.679117752234998,2022-06-28 10:22:25.747540,2022-06-28 10:22:28.402395,[]
17,3,0.7486,0.0,20.21008888888889,20.21008888888889,2022-06-28 10:22:28.933367,2022-06-28 10:22:28.933367,[]
18,3031,0.9999,0.0,20.741060025542783,20.741060025542783,2022-06-28 10:22:29.464338,2022-06-28 10:22:29.464338,[]
19,3031,0.8895,0.0,23.92688684546616,24.988829118773943,2022-06-28 10:22:32.650164,2022-06-28 10:22:33.712107,[]
20,1839,0.9999000000000002,0.0,21.27203116219668,25.51980025542784,2022-06-28 10:22:29.995309,2022-06-28 10:22:34.243078,[]
21,3127,0.9999,0.6074041724205017,21.803002298850576,21.803002298850576,2022-06-28 10:22:30.526280,2022-06-28 10:22:30.526280,[]
22,2,0.9936,0.0,22.333973435504472,22.864944572158365,2022-06-28 10:22:31.057251,2022-06-28 10:22:31.588222,"[(20, 0.4638, 22.333973435504472, 22.333973435504472)]"
23,325,0.4151,0.0,22.333973435504472,22.333973435504472,2022-06-28 10:22:31.057251,2022-06-28 10:22:31.057251,[]
24,1,0.7128,0.0,22.333973435504472,22.864944572158365,2022-06-28 10:22:31.057251,2022-06-28 10:22:31.588222,[]
25,1972,0.5876,0.0,22.864944572158365,22.864944572158365,2022-06-28 10:22:31.588222,2022-06-28 10:22:31.588222,[]
26,3589,0.9999,0.0,24.45785798212005,25.51980025542784,2022-06-28 10:22:33.181136,2022-06-28 10:22:34.243078,[]
27,2060,0.9996,0.0,21.803002298850576,25.51980025542784,2022-06-28 10:22:30.526280,2022-06-28 10:22:34.243078,"[(2065, 0.4485, 25.51980025542784, 25.51980025542784)]"
28,309,0.861,0.0,25.51980025542784,25.51980025542784,2022-06-28 10:22:34.243078,2022-06-28 10:22:34.243078,[]
